Rownum,ItemIdent,target,TargetSoundfile,tword,prime,PrimeSoundfile,ptype,pword,Sequence,Condition,Group
165,F135,shokirao,shokirao.wav,word,punio,punio.wav,F,word,3N,Filler,3
166,F136,teresio,teresio.wav,nonword,chestitao,chestitao.wav,F,word,1N,Filler,3
167,F137,ispranio,ispranio.wav,nonword,izgadjao,izgadjao.wav,F,word,2N,Filler,3
168,F138,lacao,lacao.wav,nonword,trashio,trashio.wav,F,nonword,3N,Filler,3
169,F139,batirao,batirao.wav,nonword,kontao,kontao.wav,F,word,1N,Filler,3
170,F140,ispratio,ispratio.wav,word,lagao,lagao.wav,F,word,2N,Filler,3
171,F141,batalio,batalio.wav,word,momio,momio.wav,F,nonword,3N,Filler,3
172,F142,trufio,trufio.wav,nonword,glabio,glabio.wav,F,nonword,1N,Filler,3
173,F143,tenio,tenio.wav,nonword,zeznuo,zeznuo.wav,F,word,2N,Filler,3
174,F144,pastio,pastio.wav,nonword,trevirao,trevirao.wav,F,nonword,3N,Filler,3
175,F145,hosao,hosao.wav,nonword,predlozhio,predlozhio.wav,F,word,1N,Filler,3
176,F146,tjutao,tjutao.wav,word,isplamio,isplamio.wav,F,nonword,2N,Filler,3
177,F147,krapio,krapio.wav,nonword,bojao,bojao.wav,F,word,3N,Filler,3
178,F148,dukao,dukao.wav,nonword,kichio,kichio.wav,F,nonword,1N,Filler,3
179,F149,lechio,lechio.wav,word,travio,travio.wav,F,nonword,2N,Filler,3
180,F150,bivao,bivao.wav,word,shtitio,shtitio.wav,F,word,3N,Filler,3
181,F151,kuzhao,kuzhao.wav,nonword,vadio,vadio.wav,F,word,1N,Filler,3
182,F152,udenio,udenio.wav,nonword,kachio,kachio.wav,F,word,2N,Filler,3
183,F153,boravio,boravio.wav,word,chesvitao,chesvitao.wav,F,nonword,3N,Filler,3
184,F154,charirao,charirao.wav,nonword,shetao,shetao.wav,F,word,1N,Filler,3
185,F155,chistio,chistio.wav,word,kretao,kretao.wav,F,word,2N,Filler,3
186,F156,delovao,delovao.wav,word,buzhao,buzhao.wav,F,nonword,3N,Filler,3
187,F157,shalio,shalio.wav,word,trakao,trakao.wav,F,nonword,1N,Filler,3
188,F158,purtio,purtio.wav,nonword,nestao,nestao.wav,F,word,2N,Filler,3
189,F159,hvatao,hvatao.wav,word,trenirao,trenirao.wav,F,word,3N,Filler,3
190,F160,lupao,lupao.wav,word,nestagao,nestagao.wav,F,nonword,1N,Filler,3
191,F161,chafkao,chafkao.wav,nonword,plasirao,plasirao.wav,F,word,2N,Filler,3
192,F162,glasio,glasio.wav,word,varirao,varirao.wav,F,word,3N,Filler,3
193,F163,belezhio,belezhio.wav,word,kasnio,kasnio.wav,F,word,1N,Filler,3
194,F164,ispadao,ispadao.wav,word,hlamio,hlamio.wav,F,nonword,2N,Filler,3
195,F165,citirao,citirao.wav,word,kosirao,kosirao.wav,F,nonword,3N,Filler,3
196,F166,raskinuo,raskinuo.wav,word,kukao,kukao.wav,F,word,1N,Filler,3
197,F167,ljubio,ljubio.wav,word,brojao,brojao.wav,F,word,2N,Filler,3
198,F168,shelao,shelao.wav,nonword,zhereo,zhereo.wav,F,nonword,3N,Filler,3
199,F169,mupio,mupio.wav,nonword,cepao,cepao.wav,F,word,1N,Filler,3
200,F170,krasio,krasio.wav,word,vezao,vezao.wav,F,word,2N,Filler,3
201,F171,brinuo,brinuo.wav,word,cimao,cimao.wav,F,word,3N,Filler,3
202,F172,chudao,chudao.wav,nonword,bejao,bejao.wav,F,nonword,1N,Filler,3
203,F173,nestajao,nestajao.wav,word,bosio,bosio.wav,F,nonword,2N,Filler,3
204,F174,vezivao,vezivao.wav,word,negirao,negirao.wav,F,word,3N,Filler,3
205,F175,beravio,beravio.wav,nonword,tezhio,tezhio.wav,F,word,1N,Filler,3
206,F176,roshio,roshio.wav,nonword,ginuo,ginuo.wav,F,word,2N,Filler,3
207,F177,teretio,teretio.wav,word,ksenuo,ksenuo.wav,F,nonword,3N,Filler,3
208,F178,nagurio,nagurio.wav,nonword,vlasirao,vlasirao.wav,F,nonword,1N,Filler,3
209,F179,sucao,sucao.wav,nonword,chachkao,chachkao.wav,F,word,2N,Filler,3
210,F180,bekao,bekao.wav,nonword,pukao,pukao.wav,F,word,3N,Filler,3
211,F181,lipio,lipio.wav,nonword,bisao,bisao.wav,F,nonword,1N,Filler,3
212,F182,hladio,hladio.wav,word,tretirao,tretirao.wav,F,word,2N,Filler,3
213,F183,bazirao,bazirao.wav,word,dezio,dezio.wav,F,nonword,3N,Filler,3
214,F184,zvuchao,zvuchao.wav,word,kuvao,kuvao.wav,F,word,1N,Filler,3
215,F185,buzhao,buzhao.wav,nonword,odvojio,odvojio.wav,F,word,2N,Filler,3
216,F186,leteo,leteo.wav,word,pretio,pretio.wav,F,word,3N,Filler,3
217,F187,ispalio,ispalio.wav,word,kruvio,kruvio.wav,F,nonword,1N,Filler,3
218,F188,izgudjao,izgudjao.wav,nonword,svedochio,svedochio.wav,F,word,2N,Filler,3
219,F189,sratio,sratio.wav,nonword,snimio,snimio.wav,F,word,3N,Filler,3
220,F190,obratjao,obratjao.wav,word,spremio,spremio.wav,F,word,1N,Filler,3
221,F191,ulagao,ulagao.wav,word,shteleo,shteleo.wav,F,nonword,2N,Filler,3
222,F192,forsidao,forsidao.wav,nonword,nerkirao,nerkirao.wav,F,nonword,3N,Filler,3
223,F193,stradao,stradao.wav,word,kreisao,kreisao.wav,F,nonword,1N,Filler,3
224,F194,rozhio,rozhio.wav,nonword,obetjao,obetjao.wav,F,word,2N,Filler,3
225,F195,lidjao,lidjao.wav,nonword,pamio,pamio.wav,F,nonword,3N,Filler,3
226,F196,lupio,lupio.wav,word,nepirao,nepirao.wav,F,nonword,1N,Filler,3
227,F197,blakirao,blakirao.wav,nonword,disao,disao.wav,F,word,2N,Filler,3
228,F198,bistio,bistio.wav,nonword,dirao,dirao.wav,F,word,3N,Filler,3
1,C1,radio,radio.wav,word,ugradio,ugradio.wav,P,word,1Y,Exp,4
2,C2,dao,dao.wav,word,padao,padao.wav,P,word,2Y,Exp,4
3,C3,vikao,vikao.wav,word,olakshao,olakshao.wav,C,word,3Y,Exp,4
4,C4,bavio,bavio.wav,word,nabavio,nabavio.wav,PM,word,1Y,Exp,4
5,C5,mogao,mogao.wav,word,naveo,naveo.wav,C,word,2Y,Exp,4
6,C6,rekao,rekao.wav,word,porekao,porekao.wav,PM,word,3Y,Exp,4
7,C7,ishao,ishao.wav,word,sadrzhao,sadrzhao.wav,C,word,1Y,Exp,4
8,C8,hteo,hteo.wav,word,izneo,izneo.wav,C,word,2Y,Exp,4
9,C9,znao,znao.wav,word,poznao,poznao.wav,PM,word,3Y,Exp,4
10,C10,pio,pio.wav,word,napio,napio.wav,M,word,1Y,Exp,4
11,C11,oshtrio,oshtrio.wav,word,izoshtrio,izoshtrio.wav,MS,word,2Y,Exp,4
12,C12,sitnio,sitnio.wav,word,preneo,preneo.wav,C,word,3Y,Exp,4
13,C13,pisao,pisao.wav,word,promenio,promenio.wav,C,word,1Y,Exp,4
14,C14,mislio,mislio.wav,word,razmislio,razmislio.wav,MS,word,2Y,Exp,4
15,C15,stigao,stigao.wav,word,postigao,postigao.wav,M,word,3Y,Exp,4
16,C16,nashao,nashao.wav,word,pronashao,pronashao.wav,MS,word,1Y,Exp,4
17,C17,kuupio,kuupio.wav,word,prikupio,prikupio.wav,PM,word,2Y,Exp,4
18,C18,stao,stao.wav,word,blistao,blistao.wav,P,word,3Y,Exp,4
19,C19,chinio,chinio.wav,word,zachinio,zachinio.wav,M,word,1Y,Exp,4
20,C20,igrao,igrao.wav,word,odvalio,odvalio.wav,C,word,2Y,Exp,4
21,C21,krao,krao.wav,word,pokrao,pokrao.wav,MS,word,3Y,Exp,4
22,C22,vodio,vodio.wav,word,zavodio,zavodio.wav,M,word,1Y,Exp,4
23,C23,ticao,ticao.wav,word,sticao,sticao.wav,PM,word,2Y,Exp,4
24,C24,stavio,stavio.wav,word,obustavio,obustavio.wav,P,word,3Y,Exp,4
25,C25,setjao,setjao.wav,word,osetjao,osetjao.wav,M,word,1Y,Exp,4
26,C26,orao,orao.wav,word,preorao,preorao.wav,MS,word,2Y,Exp,4
27,C27,umeo,umeo.wav,word,zaspao,zaspao.wav,C,word,3Y,Exp,4
28,C28,slao,slao.wav,word,obuvao,obuvao.wav,C,word,1Y,Exp,4
29,C29,imao,imao.wav,word,zanimao,zanimao.wav,P,word,2Y,Exp,4
30,C30,pao,pao.wav,word,dogegao,dogegao.wav,C,word,3Y,Exp,4
31,F1,kestao,kestao.wav,nonword,trebao,trebao.wav,F,word,1N,Filler,4
32,F2,ispridao,ispridao.wav,nonword,video,video.wav,F,word,2N,Filler,4
33,F3,roshavao,roshavao.wav,nonword,guglovao,guglovao.wav,F,word,3N,Filler,4
34,F4,monsirao,monsirao.wav,nonword,dirao,dirao.wav,F,word,1N,Filler,4
35,F5,koristio,koristio.wav,word,kutao,kutao.wav,F,nonword,2N,Filler,4
36,F6,zheleo,zheleo.wav,word,zakevao,zakevao.wav,F,nonword,3N,Filler,4
37,F7,znachio,znachio.wav,word,ispatao,ispatao.wav,F,nonword,1N,Filler,4
38,F8,ulafao,ulafao.wav,nonword,gledao,gledao.wav,F,word,2N,Filler,4
39,F9,radovao,radovao.wav,word,trazhio,trazhio.wav,F,word,3N,Filler,4
40,F10,vedio,vedio.wav,nonword,verovao,verovao.wav,F,word,1N,Filler,4
41,F11,hvasao,hvasao.wav,nonword,pruvao,pruvao.wav,F,nonword,2N,Filler,4
42,F12,plasio,plasio.wav,nonword,doshtao,doshtao.wav,F,nonword,3N,Filler,4
43,F13,divao,divao.wav,nonword,pravio,pravio.wav,F,word,1N,Filler,4
44,F14,chekao,chekao.wav,word,nobio,nobio.wav,F,nonword,2N,Filler,4
45,F15,zatvorio,zatvorio.wav,word,pitao,pitao.wav,F,word,3N,Filler,4
46,F16,krenuo,krenuo.wav,word,govorio,govorio.wav,F,word,1N,Filler,4
47,F17,shtinio,shtinio.wav,nonword,zhiveo,zhiveo.wav,F,word,2N,Filler,4
48,F18,kamirao,kamirao.wav,nonword,delorao,delorao.wav,F,nonword,3N,Filler,4
49,F19,davao,davao.wav,word,didnuo,didnuo.wav,F,nonword,1N,Filler,4
50,F20,testipao,testipao.wav,nonword,deshavao,deshavao.wav,F,word,2N,Filler,4
51,F21,raskivuo,raskivuo.wav,nonword,nosio,nosio.wav,F,word,3N,Filler,4
52,F22,gontovao,gontovao.wav,nonword,mokao,mokao.wav,F,nonword,1N,Filler,4
53,F23,menjao,menjao.wav,word,reshio,reshio.wav,F,word,2N,Filler,4
54,F24,zatmorio,zatmorio.wav,nonword,terao,terao.wav,F,word,3N,Filler,4
55,F25,dipao,dipao.wav,nonword,ljuchio,ljuchio.wav,F,nonword,1N,Filler,4
56,F26,raspravljao,raspravljao.wav,word,tjatao,tjatao.wav,F,nonword,2N,Filler,4
57,F27,trakao,trakao.wav,nonword,gobeo,gobeo.wav,F,nonword,3N,Filler,4
58,F28,bikao,bikao.wav,nonword,takmichio,takmichio.wav,F,word,1N,Filler,4
59,F29,bresao,bresao.wav,nonword,obileo,obileo.wav,F,nonword,2N,Filler,4
60,F30,pratio,pratio.wav,word,planirao,planirao.wav,F,word,3N,Filler,4
61,F31,okratjao,okratjao.wav,nonword,javio,javio.wav,F,word,1N,Filler,4
62,F32,kupovao,kupovao.wav,word,klirnuo,klirnuo.wav,F,nonword,2N,Filler,4
63,F33,nudio,nudio.wav,word,platio,platio.wav,F,word,3N,Filler,4
64,F34,vregao,vregao.wav,nonword,platjao,platjao.wav,F,word,1N,Filler,4
65,F35,govoshio,govoshio.wav,nonword,vozio,vozio.wav,F,word,2N,Filler,4
66,F36,trogao,trogao.wav,nonword,sunio,sunio.wav,F,nonword,3N,Filler,4
67,F37,ispralio,ispralio.wav,nonword,zozao,zozao.wav,F,nonword,1N,Filler,4
68,F38,buzio,buzio.wav,nonword,falio,falio.wav,F,word,2N,Filler,4
69,F39,molio,molio.wav,word,lezhao,lezhao.wav,F,word,3N,Filler,4
70,F40,pustio,pustio.wav,word,odvonio,odvonio.wav,F,nonword,1N,Filler,4
71,F41,vredeo,vredeo.wav,word,bitao,bitao.wav,F,nonword,2N,Filler,4
72,F42,lachio,lachio.wav,nonword,prubao,prubao.wav,F,nonword,3N,Filler,4
73,F43,vekivao,vekivao.wav,nonword,delio,delio.wav,F,word,1N,Filler,4
74,F44,gitirao,gitirao.wav,nonword,felio,felio.wav,F,nonword,2N,Filler,4
75,F45,goreo,goreo.wav,word,borio,borio.wav,F,word,3N,Filler,4
76,F46,bretirao,bretirao.wav,nonword,janio,janio.wav,F,nonword,1N,Filler,4
77,F47,blesao,blesao.wav,nonword,birao,birao.wav,F,word,2N,Filler,4
78,F48,tragao,tragao.wav,word,koshtao,koshtao.wav,F,word,3N,Filler,4
79,F49,prezhio,prezhio.wav,nonword,javljao,javljao.wav,F,word,1N,Filler,4
80,F50,istrazhio,istrazhio.wav,word,trakio,trakio.wav,F,nonword,2N,Filler,4
81,F51,fermirao,fermirao.wav,nonword,valjao,valjao.wav,F,word,3N,Filler,4
82,F52,lichio,lichio.wav,word,svedomio,svedomio.wav,F,nonword,1N,Filler,4
83,F53,cemao,cemao.wav,nonword,zamatio,zamatio.wav,F,nonword,2N,Filler,4
84,F54,leveo,leveo.wav,nonword,vratjao,vratjao.wav,F,word,3N,Filler,4
85,F55,troshio,troshio.wav,word,prazhio,prazhio.wav,F,nonword,1N,Filler,4
86,F56,pazio,pazio.wav,word,pozhegao,pozhegao.wav,F,nonword,2N,Filler,4
87,F57,grujao,grujao.wav,nonword,genuo,genuo.wav,F,nonword,3N,Filler,4
88,F58,pobegao,pobegao.wav,word,chuvao,chuvao.wav,F,word,1N,Filler,4
89,F59,isplatio,isplatio.wav,word,pucao,pucao.wav,F,word,2N,Filler,4
90,F60,sprezhio,sprezhio.wav,nonword,gurnuo,gurnuo.wav,F,word,3N,Filler,4
91,F61,gario,gario.wav,nonword,isprochao,isprochao.wav,F,nonword,1N,Filler,4
92,F62,pljuvao,pljuvao.wav,word,pruzhao,pruzhao.wav,F,word,2N,Filler,4
93,F63,pavario,pavario.wav,nonword,testirao,testirao.wav,F,word,3N,Filler,4
94,F64,lumao,lumao.wav,nonword,glepao,glepao.wav,F,nonword,1N,Filler,4
95,F65,respravljao,respravljao.wav,nonword,repio,repio.wav,F,nonword,2N,Filler,4
96,F66,vimeo,vimeo.wav,nonword,kazao,kazao.wav,F,word,3N,Filler,4
97,F67,tuzhio,tuzhio.wav,word,morao,morao.wav,F,word,1N,Filler,4
98,F68,snivio,snivio.wav,nonword,garnuo,garnuo.wav,F,nonword,2N,Filler,4
99,F69,isplivao,isplivao.wav,word,kucao,kucao.wav,F,word,3N,Filler,4
100,F70,ispanao,ispanao.wav,nonword,guchao,guchao.wav,F,nonword,1N,Filler,4
101,F71,vegao,vegao.wav,nonword,sholirao,sholirao.wav,F,nonword,2N,Filler,4
102,F72,bukio,bukio.wav,nonword,rachunao,rachunao.wav,F,word,3N,Filler,4
103,F73,stramao,stramao.wav,nonword,isprichao,isprichao.wav,F,word,1N,Filler,4
104,F74,nervirao,nervirao.wav,word,branio,branio.wav,F,word,2N,Filler,4
105,F75,trudio,trudio.wav,word,svipao,svipao.wav,F,nonword,3N,Filler,4
106,F76,krinuo,krinuo.wav,nonword,zhalio,zhalio.wav,F,word,1N,Filler,4
107,F77,vasnio,vasnio.wav,nonword,oretjao,oretjao.wav,F,nonword,2N,Filler,4
108,F78,krebao,krebao.wav,nonword,pruzhio,pruzhio.wav,F,word,3N,Filler,4
109,F79,tarmichio,tarmichio.wav,nonword,palio,palio.wav,F,word,1N,Filler,4
110,F80,branuo,branuo.wav,nonword,muchio,muchio.wav,F,word,2N,Filler,4
111,F81,najurio,najurio.wav,word,svirao,svirao.wav,F,word,3N,Filler,4
112,F82,zbunio,zbunio.wav,word,zhamio,zhamio.wav,F,nonword,1N,Filler,4
113,F83,lenio,lenio.wav,nonword,isprobao,isprobao.wav,F,word,2N,Filler,4
114,F84,kashtao,kashtao.wav,nonword,pamtio,pamtio.wav,F,word,3N,Filler,4
115,F85,murio,murio.wav,nonword,zezao,zezao.wav,F,word,1N,Filler,4
116,F86,preklozhio,preklozhio.wav,nonword,nitao,nitao.wav,F,nonword,2N,Filler,4
117,F87,hvalio,hvalio.wav,word,kliknuo,kliknuo.wav,F,word,3N,Filler,4
118,F88,tazhio,tazhio.wav,nonword,vrapao,vrapao.wav,F,nonword,1N,Filler,4
119,F89,rashovao,rashovao.wav,nonword,trejao,trejao.wav,F,nonword,2N,Filler,4
120,F90,drezhio,drezhio.wav,nonword,glasao,glasao.wav,F,word,3N,Filler,4
121,F91,kutovao,kutovao.wav,nonword,kruzhio,kruzhio.wav,F,word,1N,Filler,4
122,F92,gurao,gurao.wav,word,lafao,lafao.wav,F,nonword,2N,Filler,4
123,F93,blokirao,blokirao.wav,word,bavljao,bavljao.wav,F,nonword,3N,Filler,4
124,F94,prakao,prakao.wav,nonword,dapao,dapao.wav,F,nonword,1N,Filler,4
125,F95,vanio,vanio.wav,nonword,zapevao,zapevao.wav,F,word,2N,Filler,4
126,F96,purtao,purtao.wav,nonword,ispravio,ispravio.wav,F,word,3N,Filler,4
127,F97,kvario,kvario.wav,word,kreirao,kreirao.wav,F,word,1N,Filler,4
128,F98,isklivao,isklivao.wav,nonword,grushio,grushio.wav,F,nonword,2N,Filler,4
129,F99,ispelio,ispelio.wav,nonword,montirao,montirao.wav,F,word,3N,Filler,4
130,F100,ispunio,ispunio.wav,word,verogao,verogao.wav,F,nonword,1N,Filler,4
131,F101,zachudio,zachudio.wav,word,vredjao,vredjao.wav,F,word,2N,Filler,4
132,F102,brejao,brejao.wav,nonword,meshao,meshao.wav,F,word,3N,Filler,4
133,F103,dignuo,dignuo.wav,word,pitovao,pitovao.wav,F,nonword,1N,Filler,4
134,F104,bragio,bragio.wav,nonword,zachedio,zachedio.wav,F,nonword,2N,Filler,4
135,F105,dibao,dibao.wav,nonword,slavio,slavio.wav,F,word,3N,Filler,4
136,F106,pavio,pavio.wav,nonword,proshirio,proshirio.wav,F,word,1N,Filler,4
137,F107,kvanio,kvanio.wav,nonword,ucenio,ucenio.wav,F,word,2N,Filler,4
138,F108,gasio,gasio.wav,word,vidjao,vidjao.wav,F,word,3N,Filler,4
139,F109,tebao,tebao.wav,nonword,plakao,plakao.wav,F,word,1N,Filler,4
140,F110,vestao,vestao.wav,nonword,tukachio,tukachio.wav,F,nonword,2N,Filler,4
141,F111,gepao,gepao.wav,nonword,bazalio,bazalio.wav,F,nonword,3N,Filler,4
142,F112,nusio,nusio.wav,nonword,greshio,greshio.wav,F,word,1N,Filler,4
143,F113,shtedeo,shtedeo.wav,word,dizao,dizao.wav,F,word,2N,Filler,4
144,F114,duvao,duvao.wav,word,putovao,putovao.wav,F,word,3N,Filler,4
145,F115,pladio,pladio.wav,nonword,brisao,brisao.wav,F,word,1N,Filler,4
146,F116,kondzhao,kondzhao.wav,nonword,devio,devio.wav,F,nonword,2N,Filler,4
147,F117,tumachio,tumachio.wav,word,mashao,mashao.wav,F,nonword,3N,Filler,4
148,F118,ljutio,ljutio.wav,word,oboleo,oboleo.wav,F,word,1N,Filler,4
149,F119,ispanio,ispanio.wav,nonword,zapatio,zapatio.wav,F,word,2N,Filler,4
150,F120,guplovao,guplovao.wav,nonword,kopirao,kopirao.wav,F,word,3N,Filler,4
151,F121,rodio,rodio.wav,word,znabio,znabio.wav,F,nonword,1N,Filler,4
152,F122,zbulio,zbulio.wav,nonword,glumio,glumio.wav,F,word,2N,Filler,4
153,F123,bezhao,bezhao.wav,word,shapio,shapio.wav,F,nonword,3N,Filler,4
154,F124,istrafio,istrafio.wav,nonword,pushtao,pushtao.wav,F,word,1N,Filler,4
155,F125,zhileo,zhileo.wav,nonword,vorio,vorio.wav,F,nonword,2N,Filler,4
156,F126,mubio,mubio.wav,nonword,zvichao,zvichao.wav,F,nonword,3N,Filler,4
157,F127,katao,katao.wav,nonword,druzhio,druzhio.wav,F,word,1N,Filler,4
158,F128,pazario,pazario.wav,word,blutio,blutio.wav,F,nonword,2N,Filler,4
159,F129,zegnuo,zegnuo.wav,nonword,grejao,grejao.wav,F,word,3N,Filler,4
160,F130,daljao,daljao.wav,nonword,kapirao,kapirao.wav,F,word,1N,Filler,4
161,F131,dekavao,dekavao.wav,nonword,budio,budio.wav,F,word,2N,Filler,4
162,F132,hodao,hodao.wav,word,merio,merio.wav,F,word,3N,Filler,4
163,F133,iskruchio,iskruchio.wav,nonword,puzhao,puzhao.wav,F,nonword,1N,Filler,4
164,F134,formirao,formirao.wav,word,begezhio,begezhio.wav,F,nonword,2N,Filler,4
165,F135,shokirao,shokirao.wav,word,punio,punio.wav,F,word,3N,Filler,4
166,F136,teresio,teresio.wav,nonword,chestitao,chestitao.wav,F,word,1N,Filler,4
167,F137,ispranio,ispranio.wav,nonword,izgadjao,izgadjao.wav,F,word,2N,Filler,4
168,F138,lacao,lacao.wav,nonword,trashio,trashio.wav,F,nonword,3N,Filler,4
169,F139,batirao,batirao.wav,nonword,kontao,kontao.wav,F,word,1N,Filler,4
170,F140,ispratio,ispratio.wav,word,lagao,lagao.wav,F,word,2N,Filler,4
171,F141,batalio,batalio.wav,word,momio,momio.wav,F,nonword,3N,Filler,4
172,F142,trufio,trufio.wav,nonword,glabio,glabio.wav,F,nonword,1N,Filler,4
173,F143,tenio,tenio.wav,nonword,zeznuo,zeznuo.wav,F,word,2N,Filler,4
174,F144,pastio,pastio.wav,nonword,trevirao,trevirao.wav,F,nonword,3N,Filler,4
175,F145,hosao,hosao.wav,nonword,predlozhio,predlozhio.wav,F,word,1N,Filler,4
176,F146,tjutao,tjutao.wav,word,isplamio,isplamio.wav,F,nonword,2N,Filler,4
177,F147,krapio,krapio.wav,nonword,bojao,bojao.wav,F,word,3N,Filler,4
178,F148,dukao,dukao.wav,nonword,kichio,kichio.wav,F,nonword,1N,Filler,4
179,F149,lechio,lechio.wav,word,travio,travio.wav,F,nonword,2N,Filler,4
180,F150,bivao,bivao.wav,word,shtitio,shtitio.wav,F,word,3N,Filler,4
181,F151,kuzhao,kuzhao.wav,nonword,vadio,vadio.wav,F,word,1N,Filler,4
182,F152,udenio,udenio.wav,nonword,kachio,kachio.wav,F,word,2N,Filler,4
183,F153,boravio,boravio.wav,word,chesvitao,chesvitao.wav,F,nonword,3N,Filler,4
184,F154,charirao,charirao.wav,nonword,shetao,shetao.wav,F,word,1N,Filler,4
185,F155,chistio,chistio.wav,word,kretao,kretao.wav,F,word,2N,Filler,4
186,F156,delovao,delovao.wav,word,buzhao,buzhao.wav,F,nonword,3N,Filler,4
187,F157,shalio,shalio.wav,word,trakao,trakao.wav,F,nonword,1N,Filler,4
188,F158,purtio,purtio.wav,nonword,nestao,nestao.wav,F,word,2N,Filler,4
189,F159,hvatao,hvatao.wav,word,trenirao,trenirao.wav,F,word,3N,Filler,4
190,F160,lupao,lupao.wav,word,nestagao,nestagao.wav,F,nonword,1N,Filler,4
191,F161,chafkao,chafkao.wav,nonword,plasirao,plasirao.wav,F,word,2N,Filler,4
192,F162,glasio,glasio.wav,word,varirao,varirao.wav,F,word,3N,Filler,4
193,F163,belezhio,belezhio.wav,word,kasnio,kasnio.wav,F,word,1N,Filler,4
194,F164,ispadao,ispadao.wav,word,hlamio,hlamio.wav,F,nonword,2N,Filler,4
195,F165,citirao,citirao.wav,word,kosirao,kosirao.wav,F,nonword,3N,Filler,4
196,F166,raskinuo,raskinuo.wav,word,kukao,kukao.wav,F,word,1N,Filler,4
197,F167,ljubio,ljubio.wav,word,brojao,brojao.wav,F,word,2N,Filler,4
198,F168,shelao,shelao.wav,nonword,zhereo,zhereo.wav,F,nonword,3N,Filler,4
199,F169,mupio,mupio.wav,nonword,cepao,cepao.wav,F,word,1N,Filler,4
200,F170,krasio,krasio.wav,word,vezao,vezao.wav,F,word,2N,Filler,4
201,F171,brinuo,brinuo.wav,word,cimao,cimao.wav,F,word,3N,Filler,4
202,F172,chudao,chudao.wav,nonword,bejao,bejao.wav,F,nonword,1N,Filler,4
203,F173,nestajao,nestajao.wav,word,bosio,bosio.wav,F,nonword,2N,Filler,4
204,F174,vezivao,vezivao.wav,word,negirao,negirao.wav,F,word,3N,Filler,4
205,F175,beravio,beravio.wav,nonword,tezhio,tezhio.wav,F,word,1N,Filler,4
206,F176,roshio,roshio.wav,nonword,ginuo,ginuo.wav,F,word,2N,Filler,4
207,F177,teretio,teretio.wav,word,ksenuo,ksenuo.wav,F,nonword,3N,Filler,4
208,F178,nagurio,nagurio.wav,nonword,vlasirao,vlasirao.wav,F,nonword,1N,Filler,4
209,F179,sucao,sucao.wav,nonword,chachkao,chachkao.wav,F,word,2N,Filler,4
210,F180,bekao,bekao.wav,nonword,pukao,pukao.wav,F,word,3N,Filler,4
211,F181,lipio,lipio.wav,nonword,bisao,bisao.wav,F,nonword,1N,Filler,4
212,F182,hladio,hladio.wav,word,tretirao,tretirao.wav,F,word,2N,Filler,4
213,F183,bazirao,bazirao.wav,word,dezio,dezio.wav,F,nonword,3N,Filler,4
214,F184,zvuchao,zvuchao.wav,word,kuvao,kuvao.wav,F,word,1N,Filler,4
215,F185,buzhao,buzhao.wav,nonword,odvojio,odvojio.wav,F,word,2N,Filler,4
216,F186,leteo,leteo.wav,word,pretio,pretio.wav,F,word,3N,Filler,4
217,F187,ispalio,ispalio.wav,word,kruvio,kruvio.wav,F,nonword,1N,Filler,4
218,F188,izgudjao,izgudjao.wav,nonword,svedochio,svedochio.wav,F,word,2N,Filler,4
219,F189,sratio,sratio.wav,nonword,snimio,snimio.wav,F,word,3N,Filler,4
220,F190,obratjao,obratjao.wav,word,spremio,spremio.wav,F,word,1N,Filler,4
221,F191,ulagao,ulagao.wav,word,shteleo,shteleo.wav,F,nonword,2N,Filler,4
222,F192,forsidao,forsidao.wav,nonword,nerkirao,nerkirao.wav,F,nonword,3N,Filler,4
223,F193,stradao,stradao.wav,word,kreisao,kreisao.wav,F,nonword,1N,Filler,4
224,F194,rozhio,rozhio.wav,nonword,obetjao,obetjao.wav,F,word,2N,Filler,4
225,F195,lidjao,lidjao.wav,nonword,pamio,pamio.wav,F,nonword,3N,Filler,4
226,F196,lupio,lupio.wav,word,nepirao,nepirao.wav,F,nonword,1N,Filler,4
227,F197,blakirao,blakirao.wav,nonword,disao,disao.wav,F,word,2N,Filler,4
228,F198,bistio,bistio.wav,nonword,dirao,dirao.wav,F,word,3N,Filler,4
