Rownum,ItemIdent,target,TargetSoundfile,tword,prime,PrimeSoundfile,ptype,pword,Sequence,Condition,Group
167,F137,ispranio,ispranio.wav,nonword,izgadjao,izgadjao.wav,F,word,2N,Filler,2
168,F138,lacao,lacao.wav,nonword,trashio,trashio.wav,F,nonword,3N,Filler,2
169,F139,batirao,batirao.wav,nonword,kontao,kontao.wav,F,word,1N,Filler,2
170,F140,ispratio,ispratio.wav,word,lagao,lagao.wav,F,word,2N,Filler,2
171,F141,batalio,batalio.wav,word,momio,momio.wav,F,nonword,3N,Filler,2
172,F142,trufio,trufio.wav,nonword,glabio,glabio.wav,F,nonword,1N,Filler,2
173,F143,tenio,tenio.wav,nonword,zeznuo,zeznuo.wav,F,word,2N,Filler,2
174,F144,pastio,pastio.wav,nonword,trevirao,trevirao.wav,F,nonword,3N,Filler,2
175,F145,hosao,hosao.wav,nonword,predlozhio,predlozhio.wav,F,word,1N,Filler,2
176,F146,tjutao,tjutao.wav,word,isplamio,isplamio.wav,F,nonword,2N,Filler,2
177,F147,krapio,krapio.wav,nonword,bojao,bojao.wav,F,word,3N,Filler,2
178,F148,dukao,dukao.wav,nonword,kichio,kichio.wav,F,nonword,1N,Filler,2
179,F149,lechio,lechio.wav,word,travio,travio.wav,F,nonword,2N,Filler,2
180,F150,bivao,bivao.wav,word,shtitio,shtitio.wav,F,word,3N,Filler,2
181,F151,kuzhao,kuzhao.wav,nonword,vadio,vadio.wav,F,word,1N,Filler,2
182,F152,udenio,udenio.wav,nonword,kachio,kachio.wav,F,word,2N,Filler,2
183,F153,boravio,boravio.wav,word,chesvitao,chesvitao.wav,F,nonword,3N,Filler,2
184,F154,charirao,charirao.wav,nonword,shetao,shetao.wav,F,word,1N,Filler,2
185,F155,chistio,chistio.wav,word,kretao,kretao.wav,F,word,2N,Filler,2
186,F156,delovao,delovao.wav,word,buzhao,buzhao.wav,F,nonword,3N,Filler,2
187,F157,shalio,shalio.wav,word,trakao,trakao.wav,F,nonword,1N,Filler,2
188,F158,purtio,purtio.wav,nonword,nestao,nestao.wav,F,word,2N,Filler,2
189,F159,hvatao,hvatao.wav,word,trenirao,trenirao.wav,F,word,3N,Filler,2
190,F160,lupao,lupao.wav,word,nestagao,nestagao.wav,F,nonword,1N,Filler,2
191,F161,chafkao,chafkao.wav,nonword,plasirao,plasirao.wav,F,word,2N,Filler,2
192,F162,glasio,glasio.wav,word,varirao,varirao.wav,F,word,3N,Filler,2
193,F163,belezhio,belezhio.wav,word,kasnio,kasnio.wav,F,word,1N,Filler,2
194,F164,ispadao,ispadao.wav,word,hlamio,hlamio.wav,F,nonword,2N,Filler,2
195,F165,citirao,citirao.wav,word,kosirao,kosirao.wav,F,nonword,3N,Filler,2
196,F166,raskinuo,raskinuo.wav,word,kukao,kukao.wav,F,word,1N,Filler,2
197,F167,ljubio,ljubio.wav,word,brojao,brojao.wav,F,word,2N,Filler,2
198,F168,shelao,shelao.wav,nonword,zhereo,zhereo.wav,F,nonword,3N,Filler,2
199,F169,mupio,mupio.wav,nonword,cepao,cepao.wav,F,word,1N,Filler,2
